"Accession","Symbol","Gene Name","Rank","Fold_Change"
"NM_005610.1","RBBP4","Homo sapiens retinoblastoma binding protein 4 (RBBP4), mRNA.",1,2.08697218161402
"XM_944654.2","LOC648716","PREDICTED: Homo sapiens hypothetical LOC648716, transcript variant 2 (LOC648716), mRNA.",2,1.58297675574205
"NM_145172.2","WDR63","Homo sapiens WD repeat domain 63 (WDR63), mRNA.",3,1.43158621919151
"NM_032873.3","STS-1","Homo sapiens Cbl-interacting protein Sts-1 (STS-1), mRNA.",4,1.83248821279246
"NM_152758.4","YTHDF3","Homo sapiens YTH domain family, member 3 (YTHDF3), mRNA.",5,1.69702820757065
"NM_000155.2","GALT","Homo sapiens galactose-1-phosphate uridylyltransferase (GALT), mRNA.",6,1.85421043299789
"NM_012228.2","MSRB2","Homo sapiens methionine sulfoxide reductase B2 (MSRB2), mRNA.",7,3.92763799614836
"NM_001273.2","CHD4","Homo sapiens chromodomain helicase DNA binding protein 4 (CHD4), mRNA.",8,1.26670407350444
"NM_007233.1","TP53AP1","Homo sapiens TP53 activated protein 1 (TP53AP1), mRNA.",9,1.71234123459099
"NM_006977.2","ZBTB25","Homo sapiens zinc finger and BTB domain containing 25 (ZBTB25), mRNA.",10,2.00806131657998
"NM_023914.2","P2RY13","Homo sapiens purinergic receptor P2Y, G-protein coupled, 13 (P2RY13), transcript variant 1, mRNA.",11,7.77903605626261
"NM_001002255.1","SUMO4","Homo sapiens SMT3 suppressor of mif two 3 homolog 4 (S. cerevisiae) (SUMO4), mRNA.",12,1.53917425227568
"XM_045290.6","LOC151579","PREDICTED: Homo sapiens similar to basic leucine zipper and W2 domains 1 (LOC151579), mRNA.",13,1.1538912061868
"NM_012179.3","FBXO7","Homo sapiens F-box protein 7 (FBXO7), transcript variant 1, mRNA.",14,1.73947532284701
"NM_032376.2","TMEM101","Homo sapiens transmembrane protein 101 (TMEM101), mRNA.",15,1.49001391578353
"XM_001126647.1","MLKL","PREDICTED: Homo sapiens mixed lineage kinase domain-like (MLKL), mRNA.",16,1.69826970449442
"NM_024407.3","NDUFS7","Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase) (NDUFS7), mRNA.",17,1.70864648284691
"NM_005119.2","THRAP3","Homo sapiens thyroid hormone receptor associated protein 3 (THRAP3), mRNA.",18,1.38246008477526
"NM_025125.2","C10orf57","Homo sapiens chromosome 10 open reading frame 57 (C10orf57), mRNA.",19,4.42608105048676
"NM_017437.1","CPSF2","Homo sapiens cleavage and polyadenylation specific factor 2, 100kDa (CPSF2), mRNA.",20,1.64673408268097
"NM_004707.2","ATG12","Homo sapiens ATG12 autophagy related 12 homolog (S. cerevisiae) (ATG12), mRNA.",21,1.47533144427576
"XM_931112.2","C10orf128","PREDICTED: Homo sapiens chromosome 10 open reading frame 128, transcript variant 5 (C10orf128), mRNA.",22,1.93672547504197
"NM_018022.1","TMEM51","Homo sapiens transmembrane protein 51 (TMEM51), mRNA.",23,3.20866163608682
